,t,x,y,x0,y0,vx,vy,r,theta,angle,omega,alpha
408,13.6136,0.43734063409999996,0.04216750501,0.4865064748,0.8463713781000001,-0.04916584070000002,-0.8042038730900001,0.8057053738089964,0.06106004336580459,3.4984827817463846,0.06863595586235577,-1.2371812130588065
409,13.64696667,0.43649878740000003,0.04228994977,0.4865047014,0.846374374,-0.050005913999999985,-0.80408442423,0.8056378545750356,0.062109890916504866,3.5586346155336575,0.03146395941519765,-1.1140457362739133
410,13.68033333,0.4363977732,0.04234588671,0.48650293340000006,0.8463732417000001,-0.050105160200000054,-0.8040273549900001,0.8055870621173625,0.06223724787693566,3.5659316318579566,0.003816892683618644,-0.8285835840799961
411,13.7137,0.43654602670000003,0.04236769916,0.48651124020000003,0.8463709333,-0.049965213499999994,-0.80400323414,0.8055542955429387,0.06206571939953641,3.5561037740366745,-0.0051407130948114355,-0.2684596868201177
412,13.74706667,0.43851349219999997,0.042444613640000003,0.48651221060000005,0.8463673734999999,-0.047998718400000084,-0.80392275986,0.805354382113217,0.05963484029986397,3.416824661118882,-0.07285351219262662,-2.0293544155833536
413,13.78043333,0.44094259700000005,0.04246221587,0.4865157621,0.8463626502,-0.04557316509999998,-0.80390043433,0.8051911708986845,0.05662944890559149,3.244628418442131,-0.09007168815436126,-0.5160293527052252
414,13.8138,0.4435150943,0.04250278875,0.48651640020000003,0.8463567231999999,-0.04300130590000001,-0.8038539344499999,0.8050032672230902,0.0534429910969319,3.062057834409432,-0.09549822648347787,-0.1626335001100323
415,13.84716667,0.44692582229999994,0.042588851889999994,0.4865187375,0.8463638206,-0.03959291520000008,-0.8037749687100001,0.8047495257897304,0.049218923535007154,2.8200365907330283,-0.12659541877942307,-0.931983691988013
416,13.88053333,0.450823011,0.04271645776000001,0.48651967520000006,0.8463653934,-0.03569666420000006,-0.8036489356400001,0.8044413363262186,0.04438905361582753,2.543305428766844,-0.14475137515051129,-0.5441346652942781
417,13.9139,0.4553292806,0.042861884249999996,0.4865201191,0.8463659839,-0.031190838499999984,-0.8035040996499999,0.8041092628248291,0.03879903754131903,2.223021100287219,-0.1675329325494149,-0.682763889800929
418,13.94726667,0.46037694450000005,0.0430425963,0.486519711,0.8463701426000001,-0.02614276649999997,-0.8033275463000001,0.803752817030617,0.032531616300516195,1.8639243147585707,-0.18783478365695272,-0.6084470253560854
419,13.98063333,0.4659034869,0.043226112479999995,0.4865213176,0.8463734041,-0.020617830700000006,-0.80314729162,0.8034118912359434,0.02566565753177231,1.4705338549987073,-0.20577303118573428,-0.5376099234619627
420,14.014,0.4719766228,0.04405809221,0.4865202759,0.8463911724,-0.014543653099999998,-0.8023330801899999,0.8024648836009374,0.018124717611718518,1.0384698240179042,-0.22600217282857143,-0.6062679207375942
421,14.04736667,0.47816171630000004,0.04471195482,0.4865213024,0.8463942429000001,-0.008359586099999983,-0.8016822880800001,0.8017258719169212,0.010427177017528216,0.597433235340176,-0.2306954992568935,-0.1406591196640807
422,14.08073333,0.4839439681,0.0448817036,0.4865232385,0.8464042864,-0.0025792704,-0.8015225828,0.8015267327882328,0.0032179523726143184,0.18437508962491012,-0.21606072183773226,0.4386048054903259
